#Output-grp1  condition_class  retention_class  retention_mode  LEC
1 1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
1  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
2  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
3  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
4  1  -1  1  -1
